1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
0.641485 1.626466 0.030722 1.255954 0.733102 0.310948 0.121550 0.697650 0.417235 0.883412 0.351196 1.135550 1.590542 0.659350 0.000545 0.083811 0.976002 0.693351 0.353911 0.671391 2.103540 0.350785 0.376109 0.410636 1.655808 1.352105 0.406480 1.451401 1.316317 1.182562 0.987131 1.282656 0.837789 0.000121 0.308681 0.151259 1.478523 1.642709 1.762076 0.590865 1.044369 2.247903 1.338224 0.037709 1.031115 0.124106 0.198177 0.202840 1.135307 0.158315 
2.593179 2.628441 2.601637 2.605293 2.634017 2.647902 2.597407 2.623034 2.548748 2.542040 2.546127 2.534293 2.580177 2.654342 2.646527 2.613399 2.627851 2.612401 2.603452 2.663399 2.687320 2.608759 2.683191 2.630018 2.644257 2.619914 2.612904 2.643002 2.587583 2.606394 2.643825 2.606860 2.496639 2.509269 2.479779 2.513957 2.611869 2.638200 2.617067 2.614337 2.571563 2.557240 2.597872 2.571910 2.616224 2.520701 2.547532 2.535943 2.545550 2.546343 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
0.028707 0.009911 0.312680 1.407513 1.662451 2.052578 0.689422 0.037761 0.548649 0.116232 0.832531 0.048607 0.040897 0.025510 0.046853 0.762787 0.019519 0.137523 0.735035 1.465377 1.277138 0.000213 1.292171 0.020322 0.330247 0.692668 1.085912 0.774270 0.320090 0.638410 0.094574 0.118508 0.144405 0.017596 0.000323 1.519445 0.002267 0.988436 0.002537 0.653132 0.011793 1.249153 2.172587 0.724260 1.465720 0.747840 2.499811 0.176707 0.095038 0.543518 
2.550069 2.535257 2.541413 2.544283 2.533533 2.509150 2.551476 2.610816 2.667392 2.636200 2.640058 2.825478 2.700827 2.617004 2.583711 2.635476 2.657243 2.639675 2.639220 2.643027 2.611319 2.686071 2.570834 2.627880 2.683215 2.615890 2.647609 2.625365 2.631436 2.606527 2.686600 2.643026 2.617352 2.607368 2.565965 2.639374 2.644102 2.660326 2.577348 2.722270 3.135284 2.895826 2.664258 2.619471 2.622239 2.637083 2.670923 2.626454 2.659435 2.630168 
1 1 1 2 2 1 1 1 1 1 3 1 1 4 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 5 2 1 2 1 1 1 1 3 1 2 1 1 1 1 1 1 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
0.280359 0.021874 0.496853 0.083366 0.239152 0.530835 0.911422 0.010200 0.029320 0.000001 0.604833 0.756155 1.438899 0.167036 0.353964 0.645096 0.842708 0.486994 0.000179 0.043650 0.000883 0.519748 1.569629 0.106024 0.040754 0.589224 0.829247 0.171305 0.173515 0.300989 0.007508 0.665779 0.002347 0.163732 0.084409 0.000753 0.007891 0.036776 0.478520 0.041217 0.034513 1.907021 0.173100 0.303890 0.886082 0.788372 0.008739 0.669918 0.005175 0.001220 
2.648484 2.684251 3.271024 2.749979 2.793508 2.682524 2.651860 2.673517 2.654984 2.619438 2.699040 2.572122 2.544634 2.658564 2.633729 2.610546 2.637011 2.642334 2.639575 2.581132 2.547615 2.621796 2.543169 2.611094 2.605683 2.644777 2.648237 2.589388 2.551813 2.651102 2.657921 2.656168 2.584974 2.538943 2.650977 2.656473 2.648680 2.660311 2.646155 2.673292 2.601608 2.528217 2.612200 2.619751 2.583272 2.536670 2.552944 2.646530 2.701365 2.683441 
3 1 4 1 5 2 3 1 8 1 4 3 1 3 4 3 1 2 1 4 1 5 1 3 6 4 3 1 1 5 4 3 1 3 1 1 2 1 4 3 9 1 5 5 1 1 2 1 2 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
0.218611 0.061215 0.041761 0.025338 0.508704 0.286924 0.137845 0.338359 0.180772 0.551141 0.431160 0.315653 0.045185 1.983299 0.044002 0.347962 0.000074 0.009631 0.204940 0.000595 0.001445 0.003423 0.085811 0.233804 0.080248 0.027575 0.403271 0.001022 0.078693 0.062918 0.083645 1.490970 2.562180 0.148615 0.019720 0.017372 0.160356 0.001493 0.375213 0.223615 0.739042 0.028363 0.080368 0.036762 0.392351 0.497660 0.174025 0.014863 0.024062 0.000101 
2.616350 2.653661 2.633903 2.628789 2.818131 2.662754 2.692953 2.674997 2.658351 2.676981 2.627564 2.625668 2.640782 2.650051 2.693003 2.850228 2.654253 2.669183 2.574038 2.642564 2.656285 2.616385 2.638106 2.650119 2.639566 2.648311 2.650252 2.559751 2.601486 2.617320 2.645543 2.656916 2.714578 2.666790 2.701065 2.803287 2.772377 2.972330 2.701044 2.684759 2.673725 2.571190 2.586358 2.588721 2.627722 2.620713 2.569580 2.584799 2.602771 2.553978 
12 8 2 1 7 2 3 1 7 10 11 3 1 1 12 1 1 1 1 1 5 1 1 2 1 4 2 1 1 14 2 1 1 15 1 2 1 1 7 2 1 1 1 1 9 14 5 10 12 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
0.636793 0.040143 0.314450 0.181922 0.631466 0.252881 0.009904 0.044896 0.142452 0.102241 0.139490 0.197134 0.009952 0.011924 0.368266 0.000317 0.000002 0.206624 0.039589 0.036967 0.121870 0.000579 0.164641 0.157552 0.023059 0.059002 0.042293 0.096959 0.080499 0.218614 0.170848 0.020478 0.347064 0.302872 0.003635 0.002793 0.050134 0.078173 0.175546 0.080230 0.045134 1.310055 0.000045 0.006139 0.096441 0.656110 0.047207 1.293160 0.141010 0.019336 
2.600563 2.512247 2.608234 2.609885 2.533059 2.512966 2.681898 2.639817 2.562479 2.595049 2.589226 2.664629 2.626294 2.604294 2.606971 2.593924 2.687633 2.626362 2.651660 2.561353 2.607703 2.644222 2.599673 2.625339 2.647897 2.627332 2.636781 2.598775 2.575245 2.643172 2.571200 2.598863 2.611514 2.626021 2.614356 2.644574 2.605125 2.625758 2.620186 2.552061 2.548036 2.637951 2.643419 2.633839 2.611307 2.619710 2.634724 2.636404 2.675472 2.598939 
2 13 1 1 1 24 1 6 22 29 9 31 1 5 1 1 2 21 1 6 9 2 11 31 1 24 4 8 16 22 35 5 1 38 1 9 19 12 39 1 32 1 1 4 34 1 21 1 32 1 
